filename,bug_id,bisection_result,commit_time,bad_opt_level,passes_to_enable_vector,passes_to_enable
95,llvmorg3.1.0#mis_compile#1#None,,0,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unswitch,loops,loopsimplify,mem2reg,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
59,llvmorg2.8.0#mis_compile#49d15b959ea449d891f4204914bdcefe4daf79fc_7a24210ebdcefc1446369ec98f4209a93353335e#None,"fc8d9ee Implement rdar://6295824 and PR6724 with two tiny changes that can have a big effect :).  The first is to enable the iterative SCC passmanager juice that kicks in when the scc passmgr detects that a function pass has devirtualized a call.  In this case, it will rerun all the passes it manages on the SCC, up to the iteration count limit (4). This is useful because a function pass may devirualize a call, and we want the inliner to inline it, or pruneeh to infer stuff about it, etc.",1272676556,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,indvars,inline,instcombine,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unswitch,loops,loopsimplify,mem2reg,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
92,llvmorg2.9.0#mis_compile#55cf2ed148c10dd9247bc01e767f0e6904a7b389_309b4c49e44b3878774b15c9d11ca7d831e2905f#None,"1dc98b4 completely rewrite the memory promotion algorithm in LICM. Among other things, this uses SSAUpdater instead of PromoteMemToReg.",1283064232,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","adce,basiccg,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-rotate,"
66,llvmorg2.9.0#mis_compile#55cf2ed148c10dd9247bc01e767f0e6904a7b389_309b4c49e44b3878774b15c9d11ca7d831e2905f#None,1bf7ff7 Implement PR1143 (at -m64) by making basicaa look through extensions.  We previously already handled it at -m32 because there were no i32->i64 extensions for addressing.,1259261613,-O3,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,licm,loop-deletion,loop-rotate,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
104,llvmorg2.9.0#mis_compile#2bb40357079635058343743863f4d6be51501f51_726003e79d86d25cd44eee1e32ca65e3d440d843#None,12dacdd teach basicaa that A[i] != A[i+1].,1259252290,-O3,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
50,llvmorg2.8.0#mis_compile#49d15b959ea449d891f4204914bdcefe4daf79fc_7a24210ebdcefc1446369ec98f4209a93353335e#None,e35e6f0 Teach ConstantFolding to do a better job when folding gep(bitcast).,1259530855,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
68,llvmorg2.9.0#mis_compile#55cf2ed148c10dd9247bc01e767f0e6904a7b389_309b4c49e44b3878774b15c9d11ca7d831e2905f#None,631c5b2 teach GetLinearExpression to be a bit more aggressive.,1259254801,-O3,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
103,llvmorg2.9.0#mis_compile#2bb40357079635058343743863f4d6be51501f51_726003e79d86d25cd44eee1e32ca65e3d440d843#None,"9f2bca0 Experiments show that we can safely increase our unrolling threshold without unduly impacting code size, particularly since unrolling is not enabled at -Os.",1280946766,-O3,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
57,llvmorg2.8.0#mis_compile#49d15b959ea449d891f4204914bdcefe4daf79fc_7a24210ebdcefc1446369ec98f4209a93353335e#None,a7d81ab X86-64: pass/return structs of float/int as float/i32 instead of double/i64 to make the code generated for ABI cleaner.  Passing in the low part of a double is the same as passing in a float.,1277755019,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
32,llvmorg2.8.0#mis_compile#49d15b959ea449d891f4204914bdcefe4daf79fc_7a24210ebdcefc1446369ec98f4209a93353335e#None,e35e6f0 Teach ConstantFolding to do a better job when folding gep(bitcast).,1259530855,-Os,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0","adce,basiccg,constmerge,correlated-propagation,deadargelim,deadtypeelim,domfrontier,domtree,dse,functionattrs,globalopt,gvn,indvars,inline,instcombine,ipsccp,iv-users,jump-threading,lazy-value-info,lcssa,licm,loop-deletion,loop-rotate,loop-unroll,loop-unswitch,loops,loopsimplify,memcpyopt,memdep,preverify,print-used-types,prune-eh,reassociate,scalar-evolution,scalarrepl,sccp,simplify-libcalls,simplifycfg,strip-dead-prototypes,tailcallelim,verify,"
